driver,arm,n,report,falsifier,key_evidence,missing_inputs,input_ranking,med_words,words_in_contract,names_trade,date_in_report,empty_report,worst_field
balance_sheet,anon_cue,126,1.0,1.0,1.0,0.09523809523809523,1.0,226,0.7380952380952381,0.0,0.007936507936507936,0,0.09523809523809523
balance_sheet,anon_full,126,1.0,1.0,1.0,0.1984126984126984,1.0,247,0.5555555555555556,0.0,0.015873015873015872,0,0.1984126984126984
balance_sheet,none,126,1.0,1.0,1.0,0.5317460317460317,1.0,223,0.8888888888888888,0.0,0.023809523809523808,0,0.5317460317460317
balance_sheet,plain,126,1.0,1.0,0.9920634920634921,0.19047619047619047,1.0,240,0.6507936507936508,0.0,1.0,0,0.19047619047619047
curve_slope,anon_cue,125,1.0,1.0,0.992,0.864,0.984,284,0.112,0.024,0.024,0,0.864
curve_slope,anon_full,126,1.0,1.0,0.9920634920634921,0.9444444444444444,0.9841269841269841,306,0.047619047619047616,0.023809523809523808,0.0,0,0.9444444444444444
curve_slope,none,126,1.0,1.0,1.0,0.8174603174603174,0.9841269841269841,274,0.1984126984126984,0.031746031746031744,0.0,0,0.8174603174603174
curve_slope,plain,124,1.0,1.0,1.0,0.9193548387096774,0.9758064516129032,301,0.07258064516129033,0.08064516129032258,0.8870967741935484,0,0.9193548387096774
financial_conditions,anon_cue,126,1.0,0.9920634920634921,0.9920634920634921,0.1111111111111111,0.9761904761904762,240,0.6666666666666666,0.007936507936507936,0.0,0,0.1111111111111111
financial_conditions,anon_full,126,1.0,1.0,0.9920634920634921,0.47619047619047616,1.0,264,0.2777777777777778,0.0,0.0,0,0.47619047619047616
financial_conditions,none,126,1.0,1.0,1.0,0.20634920634920634,0.9920634920634921,236,0.746031746031746,0.0,0.007936507936507936,0,0.20634920634920634
financial_conditions,plain,126,1.0,1.0,0.9920634920634921,0.5158730158730159,0.9920634920634921,257,0.36507936507936506,0.0,0.9444444444444444,0,0.5158730158730159
inflation,anon_cue,124,1.0,1.0,0.9919354838709677,0.6451612903225806,0.9838709677419355,292,0.056451612903225805,0.0,0.016129032258064516,0,0.6451612903225806
inflation,anon_full,122,1.0,1.0,1.0,0.7786885245901639,0.9918032786885246,306,0.01639344262295082,0.0,0.03278688524590164,0,0.7786885245901639
inflation_expectations,anon_cue,124,1.0,1.0,1.0,0.717741935483871,0.9919354838709677,267,0.25,0.0,0.024193548387096774,0,0.717741935483871
inflation_expectations,anon_full,126,1.0,1.0,0.9920634920634921,0.8412698412698413,0.9920634920634921,297,0.03968253968253968,0.0,0.015873015873015872,0,0.8412698412698413
inflation_expectations,none,126,1.0,1.0,1.0,0.7777777777777778,1.0,262,0.30952380952380953,0.0,0.015873015873015872,0,0.7777777777777778
inflation_expectations,plain,126,1.0,1.0,1.0,0.8650793650793651,1.0,282,0.0873015873015873,0.0,0.9841269841269841,0,0.8650793650793651
inflation,none,124,1.0,1.0,1.0,0.45161290322580644,1.0,282,0.1774193548387097,0.0,0.008064516129032258,0,0.45161290322580644
inflation,plain,124,1.0,1.0,1.0,0.6532258064516129,0.9919354838709677,285,0.08064516129032258,0.0,0.8145161290322581,0,0.6532258064516129
labor_tightness,anon_cue,124,1.0,1.0,1.0,0.5241935483870968,0.9919354838709677,266,0.22580645161290322,0.0,0.0,0,0.5241935483870968
labor_tightness,anon_full,124,1.0,1.0,0.9838709677419355,0.5241935483870968,0.9758064516129032,282,0.07258064516129033,0.0,0.016129032258064516,0,0.5241935483870968
labor_tightness,none,124,1.0,1.0,1.0,0.25806451612903225,0.9838709677419355,253,0.45161290322580644,0.0,0.0,0,0.25806451612903225
labor_tightness,plain,124,1.0,1.0,0.9919354838709677,0.5,1.0,272,0.1935483870967742,0.0,0.9516129032258065,0,0.5
positioning,anon_cue,126,1.0,1.0,1.0,0.047619047619047616,0.9920634920634921,254,0.4603174603174603,0.023809523809523808,0.0,0,0.047619047619047616
positioning,anon_full,126,1.0,0.9920634920634921,0.9603174603174603,0.2698412698412698,0.9841269841269841,271,0.23015873015873015,0.0,0.0,0,0.2698412698412698
positioning,none,126,1.0,0.9920634920634921,0.9841269841269841,0.06349206349206349,0.9920634920634921,255,0.42857142857142855,0.0,0.007936507936507936,0,0.06349206349206349
positioning,plain,126,1.0,1.0,0.9841269841269841,0.40476190476190477,0.9920634920634921,272,0.21428571428571427,0.007936507936507936,0.8571428571428571,0,0.40476190476190477
risk_appetite,anon_cue,126,1.0,1.0,1.0,0.5396825396825397,0.9920634920634921,275,0.2222222222222222,0.007936507936507936,0.0,0,0.5396825396825397
risk_appetite,anon_full,126,1.0,1.0,1.0,0.6349206349206349,1.0,284,0.1111111111111111,0.0,0.007936507936507936,0,0.6349206349206349
risk_appetite,none,126,1.0,1.0,1.0,0.15873015873015872,1.0,257,0.4523809523809524,0.0,0.0,0,0.15873015873015872
risk_appetite,plain,126,1.0,1.0,1.0,0.8015873015873016,0.9841269841269841,278,0.16666666666666666,0.007936507936507936,0.9365079365079365,0,0.8015873015873016
sector_breadth,anon_cue,126,1.0,1.0,0.023809523809523808,0.6984126984126984,0.9920634920634921,267,0.30158730158730157,0.0,0.0,0,0.023809523809523808
sector_breadth,anon_full,126,1.0,0.9920634920634921,0.031746031746031744,0.753968253968254,0.9682539682539683,279,0.10317460317460317,0.0,0.0,0,0.031746031746031744
sector_breadth,none,126,1.0,1.0,0.05555555555555555,0.373015873015873,0.9920634920634921,249,0.5238095238095238,0.0,0.0,0,0.05555555555555555
sector_breadth,plain,126,1.0,1.0,0.031746031746031744,0.7936507936507936,1.0,267,0.24603174603174602,0.0,0.8809523809523809,0,0.031746031746031744
term_premium,anon_cue,126,1.0,0.9920634920634921,1.0,1.0,0.9920634920634921,269,0.18253968253968253,0.015873015873015872,0.007936507936507936,0,0.9920634920634921
term_premium,anon_full,126,1.0,1.0,1.0,1.0,0.9920634920634921,290,0.03968253968253968,0.0,0.015873015873015872,0,0.9920634920634921
term_premium,none,126,1.0,1.0,1.0,0.9920634920634921,1.0,263,0.2857142857142857,0.0,0.0,0,0.9920634920634921
term_premium,plain,126,1.0,1.0,1.0,1.0,0.9841269841269841,282,0.14285714285714285,0.007936507936507936,0.9444444444444444,0,0.9841269841269841
vol_regime,anon_cue,126,1.0,1.0,1.0,0.5476190476190477,1.0,267,0.25396825396825395,0.0,0.007936507936507936,0,0.5476190476190477
vol_regime,anon_full,126,1.0,1.0,1.0,0.7619047619047619,0.9920634920634921,284,0.06349206349206349,0.0,0.0,0,0.7619047619047619
vol_regime,none,126,1.0,1.0,1.0,0.25396825396825395,0.9841269841269841,258,0.36507936507936506,0.0,0.0,0,0.25396825396825395
vol_regime,plain,126,1.0,1.0,1.0,0.6428571428571429,1.0,277,0.1111111111111111,0.0,0.8650793650793651,0,0.6428571428571429
