driver,arm,n,ac1_outcome,sign_persistence,driver_ic,driver_t,instr_DGS3MO,t_DGS3MO,instr_DGS2,t_DGS2,instr_DGS10,t_DGS10,instr_T10YIE,t_T10YIE,mean_instr_ic,max_instr_ic,n_instr_sig,transport,transport_usable
balance_sheet,anon_cue,125,0.6314549863729004,0.768,0.6546043425765785,9.603419966123722,0.1145723374022414,1.279091626579478,0.18543988751932367,2.092928408569082,0.12902717349435971,1.4430428893452292,0.20565708108095337,2.340122515978405,0.15867411987421953,0.20565708108095337,2,0.24239698632255427,True
inflation,anon_cue,123,0.5011039182678365,0.6260162601626016,0.261980611457975,2.9860811749767597,-0.05690528043733255,-0.6295595160059174,-0.08251377377159239,-0.9145129787197519,-0.21988031741542705,-2.489585471137393,0.022876632587112727,0.2527468107356418,0.09554400105286617,0.21988031741542705,1,0.36469874820561915,True
financial_conditions,anon_cue,125,0.30789181867424975,0.608,0.19779196115222195,2.2378294787079156,0.13562491446191066,1.5181806674878615,0.11739621996975085,1.3110527884873868,0.08279537489893339,0.9214087214018937,0.03536286499018689,0.3940306500045336,0.09279484358019545,0.13562491446191066,0,0.46915376661228386,True
curve_slope,anon_cue,124,0.16217416233963766,0.4596774193548387,0.2818886341262386,3.2451623739027675,-0.17760284092536252,-1.9933777240680237,-0.13929555250363715,-1.5537170839470573,0.0375483755296674,0.41502803649785547,0.03569384293005731,0.39611628455326925,0.0975351529721811,0.17760284092536252,0,0.34600597954049395,True
risk_appetite,anon_cue,125,0.10500351364290808,0.48,0.1467066945745946,1.644853202566995,-0.1832630156441498,-2.0675005234411405,-0.13160680713373354,-1.4723970133461213,-0.03363780670099912,-0.3732725623170602,0.048958369932086875,0.5458318854258226,0.09936649985274233,0.1832630156441498,1,0.677314011748921,False
term_premium,anon_cue,125,0.07103608816374374,0.464,0.04855045352471993,0.5390863047737576,0.20083284936602744,2.273668859961531,0.017477093533613625,0.19385995326657582,0.04855045352471993,0.5390863047737576,-0.07389064365273708,-0.825066828914966,0.08518776001927451,0.20083284936602744,1,1.7546233625994936,False
labor_tightness,anon_cue,123,0.010408366725462356,0.3089430894308943,0.15278554825005033,1.700607236376974,0.045083674565266144,0.498472301103638,-0.1121382414380314,-1.246469321348743,-0.1980058439665662,-2.231222359736804,-0.06745581086025389,-0.7467747403041237,0.10567089270752941,0.1980058439665662,1,0.6916288478710525,True
inflation_expectations,anon_cue,123,-0.016906780491284083,0.4715447154471545,0.043419360848292794,0.47806381464671793,0.1498046671106522,1.6666585598173858,0.0764943254505591,0.8439102228277001,0.17557557350701344,1.9618060912514899,0.04114485620487851,0.4548449571944535,0.11075485556827583,0.17557557350701344,0,2.55081727147604,False
sector_breadth,anon_cue,125,-0.13908756888664173,0.336,-0.16066142300117994,-1.8052726301698943,0.13412266773954698,1.5010547674882613,-0.009704244478867932,-0.10763034568120546,0.014388582246570652,0.1595936179732425,-0.028692732146490808,-0.3196403457404156,0.0467270566528691,0.13412266773954698,0,0.290841794999699,True
vol_regime,anon_cue,125,-0.24554149895347943,0.36,-0.09958602068966187,-1.1099801575169184,-0.10867881095552652,-1.2124879878904773,0.007262255808024186,0.08054443715706407,0.029466908404410058,0.326945797519806,0.11639980035152651,1.3050444385752908,0.06545194387987181,0.11639980035152651,0,0.6572402775670546,False
positioning,anon_cue,125,-0.295595065174453,0.472,-0.08439635712361261,-0.939352241360943,0.14162732857857388,1.586717091332574,0.17478286234029158,1.9687405319058098,0.1680605601124919,1.890774887584256,0.12433026561100964,1.395309603992266,0.15220025416059177,0.17478286234029158,0,1.803398385284201,False
